route_id,service_id,trip_id,departure_time
kirmizi-ring,weekdays,kirmizi-ring-6,11:20:00
sari-ring,weekdays,sari-ring-7,13:20:00
kirmizi-ring,weekdays,kirmizi-ring-7,13:20:00
sari-ring,weekdays,sari-ring-8,15:20:00
kirmizi-ring,weekdays,kirmizi-ring-8,15:20:00
sari-ring,weekdays,sari-ring-9,17:35:00
kirmizi-ring,weekdays,kirmizi-ring-9,17:35:00
sari-ring,weekdays,sari-ring-10,09:40:00
kirmizi-ring,weekdays,kirmizi-ring-10,09:40:00
sari-ring,weekdays,sari-ring-11,11:40:00
kirmizi-ring,weekdays,kirmizi-ring-11,11:40:00
sari-ring,weekdays,sari-ring-12,13:40:00
kirmizi-ring,weekdays,kirmizi-ring-12,13:40:00
sari-ring,weekdays,sari-ring-13,15:40:00
kirmizi-ring,weekdays,kirmizi-ring-13,15:40:00
sari-ring,weekdays,sari-ring-14,10:00:00
kirmizi-ring,weekdays,kirmizi-ring-14,10:00:00
sari-ring,weekdays,sari-ring-15,12:00:00
kirmizi-ring,weekdays,kirmizi-ring-15,12:00:00
sari-ring,weekdays,sari-ring-16,14:00:00
kirmizi-ring,weekdays,kirmizi-ring-16,14:00:00
sari-ring,weekdays,sari-ring-17,16:00:00
kirmizi-ring,weekdays,kirmizi-ring-17,16:00:00
sari-ring,weekdays,sari-ring-18,10:20:00
kirmizi-ring,weekdays,kirmizi-ring-18,10:20:00
sari-ring,weekdays,sari-ring-19,12:20:00
kirmizi-ring,weekdays,kirmizi-ring-19,12:20:00
sari-ring,weekdays,sari-ring-20,14:20:00
kirmizi-ring,weekdays,kirmizi-ring-20,14:20:00
sari-ring,weekdays,sari-ring-21,16:20:00
kirmizi-ring,weekdays,kirmizi-ring-21,16:20:00
sari-ring,weekdays,sari-ring-22,10:40:00
kirmizi-ring,weekdays,kirmizi-ring-22,10:40:00
sari-ring,weekdays,sari-ring-23,12:40:00
kirmizi-ring,weekdays,kirmizi-ring-23,12:40:00
sari-ring,weekdays,sari-ring-24,14:40:00
kirmizi-ring,weekdays,kirmizi-ring-24,14:40:00
sari-ring,weekdays,sari-ring-25,16:40:00
kirmizi-ring,weekdays,kirmizi-ring-25,16:40:00
